Sample_ID	DRAM	Metacerberus
1262	18.128792	0.257024
1263	18.152132	0.258052
1264	18.081252	0.25774
1265	18.1663	0.217116
1266	18.15216	0.217304
1267	18.147256	0.263756
1268	18.117672	0.25354
1269	18.08456	0.257308
1270	18.03828	0.257548
1271	18.13842	0.258112
1272	18.1428	0.256284
1273	18.154784	0.252668
1274	18.243512	0.215072
1275	18.145188	0.223088
1276	18.19076	0.220304
1277	18.219612	0.2159
1278	18.12586	0.25738
1279	18.053724	0.260292
1280	18.041656	0.257868
1281	18.073604	0.25816
1282	18.137932	0.26376
1283	18.173244	0.26036
1284	18.126624	0.257964
1285	18.10452	0.260204
1286	18.093516	0.257528
1287	18.100536	0.256536
1288	18.085136	0.257392
1289	18.089956	0.255072
1290	18.041932	0.259232
1291	18.101368	0.256268
1292	18.130672	0.255804
1293	18.13184	0.260104
1294	18.08828	0.257136
1295	18.152836	0.257016
1296	18.154512	0.220204
1297	18.110076	0.258844
1298	18.10802	0.259496
1299	18.132368	0.26166
1300	18.115736	0.260708
1301	18.141604	0.216588
1302	18.147348	0.260176
1303	18.144024	0.262152
1304	18.141064	0.258684
1305	18.143264	0.216912
1306	18.144264	0.22108
1307	18.12264	0.219648
1308	18.15562	0.216904
1309	18.058996	0.258364
1310	18.115464	0.2595
1311	18.153356	0.258608
1312	18.074148	0.26116
1313	18.100984	0.261004
1314	18.098952	0.259248
1315	18.154124	0.26258
1316	18.139616	0.253876
1317	18.118996	0.261348
1318	18.076344	0.258552
1319	18.153248	0.260864
1320	18.151288	0.259636
1321	18.143504	0.218072
1322	18.113552	0.251624
1323	18.087084	0.257804
1324	18.076612	0.256644
1325	18.187044	0.217232
1326	18.144112	0.261264
1327	18.155808	0.257912
1328	18.170732	0.263336
1329	18.140216	0.216624
1330	18.171576	0.218208
1331	18.144844	0.259064
1332	18.143424	0.219828
1333	18.09966	0.255416
1334	18.12722	0.219032
1335	18.121764	0.257588
1336	18.097236	0.221016
1337	18.13358	0.260152
1338	18.180612	0.261424
1339	18.157204	0.262524
1340	18.164968	0.214588
1341	18.144572	0.256688
1342	18.105156	0.25478
1343	18.144512	0.258976
1344	18.08204	0.25504
1345	18.165268	0.217684
1346	18.128636	0.2624
1347	18.048508	0.253996
1348	18.02852	0.254968
1349	18.130712	0.253404
1350	18.123016	0.258212
1351	18.082004	0.255376
1352	18.06014	0.25594
1353	18.147892	0.216236
1354	18.164	0.220776
1355	18.165464	0.219052
1356	18.118536	0.25308
1357	18.11448	0.256392
1358	18.099188	0.257428
1359	18.140324	0.261648
1360	18.153056	0.216952
1361	18.146712	0.26148
1362	18.13904	0.258248
1363	18.099916	0.26076
1364	18.051256	0.257828
1365	18.086844	0.256428
1366	18.020848	0.259656
1367	18.156128	0.259824
1368	18.181636	0.221196
1369	18.112312	0.256136
1370	18.16004	0.258996
1371	18.1907	0.26
1372	18.102612	0.254484
1373	18.168316	0.222608
1374	18.129268	0.258312
1375	18.161828	0.220144
1376	18.173168	0.216704
1377	18.16154	0.217304
1378	18.078532	0.255272
1379	18.095864	0.256596
1380	18.101112	0.258104
1381	18.15814	0.221456
1382	18.132764	0.216748
1383	18.177824	0.26028
1384	18.127324	0.25946
1385	18.14472	0.262136
1386	18.144856	0.260916
1387	18.101072	0.252828
1388	18.007972	0.259284
1389	17.972228	0.257144
1390	18.03058	0.255064
1391	18.0932	0.26086
1392	18.028604	0.25994
1393	18.093188	0.258684
1394	18.044876	0.252216
1395	18.126892	0.219228
1396	18.107144	0.218188
1397	18.108204	0.262192
1398	18.064548	0.262888
1399	18.057756	0.259888
1400	18.134192	0.257916
1401	18.115176	0.216476
1402	18.135572	0.258656
