ID	GIC31_complete	JQGI01_HUD	RW2_complete	S17	SH31	gsA_SM152B	gsB_3841	gsC_SM41	gsD_SM51	gsE_BIHB1217
K01452	1	0	0	0	0	0	0	0	0	0
K01453	0	0	0	0	0	1	0	0	1	0
K01455	0	0	0	0	0	1	1	1	1	1
K01457	0	0	0	0	0	1	1	1	1	1
K01458	0	0	0	0	0	1	1	1	1	1
K01460	1	1	1	1	0	0	0	0	0	0
K01462	1	1	1	1	1	1	1	1	1	1
K01463	1	1	1	1	1	0	0	1	0	0
K01464	0	0	0	0	0	1	1	1	1	1
K01465	1	1	1	1	1	1	1	1	1	1
K01466	0	0	0	0	0	1	1	1	1	1
K01468	0	0	0	0	0	1	1	1	1	1
K01469	0	0	0	0	0	1	1	1	0	0
K01470	0	0	0	0	0	1	1	1	1	1
K01473	0	0	0	0	0	1	1	1	1	1
K01474	0	0	0	0	0	1	1	1	1	1
