ID	DJ	GIC31	RW1	RW2	Rleg
COG0655	1	1	0	1	1
COG0656	1	1	0	1	1
COG0657	0	1	0	1	1
COG0658	0	0	0	0	1
COG0659	1	1	0	1	1
COG0661	1	1	0	1	1
COG0662	1	0	0	0	1
COG0663	1	1	0	1	1
COG0664	1	1	0	1	1
COG0665	1	1	1	1	1
COG0667	1	1	0	1	1
COG0668	1	1	0	1	1
COG0669	1	1	0	1	1
COG0670	1	0	0	0	1
COG0671	1	1	0	1	1
COG0675	1	1	0	1	0
COG0676	1	0	0	0	0
COG0677	1	1	0	1	1
COG0678	0	0	0	0	1
COG0679	1	0	0	0	1
COG0680	1	0	0	0	0
COG0681	1	1	0	1	1
COG0682	1	1	0	1	1
COG0683	1	0	0	0	1
COG0684	1	0	0	0	1
COG0685	1	0	0	0	1
COG0686	1	1	0	1	1
COG0687	1	1	0	1	1
COG0688	1	1	0	1	1
COG0689	1	1	0	1	1
COG0690	1	1	0	1	1
COG0691	1	1	0	1	1
COG0692	1	1	0	1	1
COG0693	1	1	0	1	1
COG0696	1	1	0	1	0
COG0697	1	1	0	1	1
COG0698	1	1	0	1	1
COG0700	1	0	0	0	0
COG0702	1	1	0	1	1
COG0703	1	1	0	1	1
COG0704	1	1	0	1	1
COG0705	1	1	0	1	1
COG0706	1	1	0	1	1
COG0707	1	1	0	1	1
COG0708	1	0	1	0	1
COG0711	1	1	0	1	1
COG0712	1	1	0	1	1
COG0713	1	0	0	0	1
COG0714	1	1	0	1	1
COG0715	1	0	0	0	1
COG0716	1	1	0	1	0
COG0717	1	0	0	0	1
COG0718	1	1	0	1	1
COG0719	0	1	0	1	1
COG0720	1	1	0	1	1
COG0721	1	1	0	1	1
COG0722	1	0	0	0	1
COG0723	1	1	0	1	1
COG0725	1	1	0	1	1
COG0726	1	1	0	1	1
COG0727	1	0	0	0	1
COG0728	1	0	0	1	1
COG0729	1	0	0	0	1
COG0730	1	1	0	1	1
COG0732	0	0	0	1	1
COG0733	0	1	0	1	0
COG0735	1	1	0	1	1
COG0736	0	1	0	1	1
COG0737	1	1	0	1	1
COG0738	1	1	0	1	1
COG0739	1	1	0	1	1
COG0740	1	1	0	1	1
COG0741	1	0	0	0	1
COG0742	1	1	0	1	1
COG0743	1	1	0	1	1
COG0744	1	1	1	1	1
COG0746	1	0	0	1	1
COG0747	1	0	1	0	1
COG0748	1	0	0	0	1
COG0749	1	0	0	0	1
COG0750	1	1	0	1	1
COG0751	1	1	0	1	1
COG0752	1	1	0	1	1
COG0753	1	1	0	1	1
COG0754	0	1	0	1	0
COG0755	1	1	0	1	1
COG0756	1	0	0	0	1
COG0757	1	1	0	1	1
COG0758	1	1	0	1	1
COG0759	1	1	0	1	1
COG0760	1	1	0	1	1
COG0761	1	1	0	1	1
COG0762	1	1	0	1	1
COG0763	1	0	0	0	1
COG0764	1	1	0	1	1
COG0765	1	1	0	1	1
COG0766	1	1	0	1	1
COG0767	1	0	0	0	1
COG0768	1	1	0	1	1
COG0769	1	1	0	1	1
COG0770	1	1	0	1	1
COG0771	1	1	0	1	1
COG0772	1	1	0	1	1
COG0773	1	1	0	1	1
COG0774	1	0	0	0	1
COG0775	1	1	0	1	1
COG0776	1	1	0	1	1
COG0777	1	1	0	1	1
COG0778	1	1	0	1	1
COG0779	1	1	0	1	1
COG0780	0	1	0	1	1
COG0781	1	1	0	1	1
COG0782	1	1	1	1	1
COG0783	1	1	0	1	1
COG0785	0	1	1	1	1
COG0786	0	0	0	1	0
COG0787	1	1	0	1	1
COG0788	1	0	0	0	1
COG0789	1	1	1	1	1
COG0790	1	0	0	0	1
COG0791	1	1	0	1	1
COG0792	1	0	0	0	1
COG0793	1	1	0	1	1
COG0794	1	0	0	0	1
COG0795	1	0	0	0	1
COG0796	1	1	0	1	1
COG0797	1	0	0	0	1
COG0798	1	1	1	0	0
COG0799	1	1	0	1	1
COG0800	1	0	0	0	1
